rank,schooldist,county,pass,adc,freelunch,medincome
449,Waverly City,Pike,66.25,21.44,36.39,22322 
450,St Bernard-Elmwood Pla,Hamilton,66.16,19.82,42.95,21427 
451,Struthers City,Mahoning,66.12,21.72,45.13,19023 
452,Blanchester Local,Clinton,65.99,8.89,21.93,22976 
453,Franklin City,Warren,65.94,10.54,22.66,23969 
454,Frontier Local,Washingt,65.92,16.25,40.15,20615 
455,Preble-Shawnee Local,Preble,65.91,6.48,20.76,25123 
456,Elyria City,Lorain,65.9,19.18,32.44,23774 
457,Jefferson Area Local,Ashtabul,65.89,10.77,26.46,23397 
458,Paulding Ex Vill,Paulding,65.87,8.08,16.77,23882 
459,Logan-Hocking Local,Hocking,65.82,13.24,28.96,21277 
460,Greeneview Local,Greene,65.74,7.4,13.58,26012 
461,Steubenville City,Jefferso,65.57,43.97,42.58,20078 
462,Edon-Northwest Local,Williams,65.39,2.49,17.65,24415 
463,Berne Union Local,Fairfiel,65.37,7.76,14.48,23251 
464,Cardington-Lincoln Loc,Morrow,65.33,12.46,21.62,22716 
465,Buckeye Local,Jefferso,65.33,20.89,42.11,20173 
466,Urbana City,Champaig,65.2,10.41,16.77,25188 
467,Zane Trace Local,Ross,65.12,8.27,15.99,26682 
468,Riverside Local,Logan,65.11,7.43,19.52,24316 
469,Tecumseh Local,Clark,65.1,11.02,27.34,25048 
470,Put-in-Bay Local,Ottawa,65,1.32,0,23422 
471,Northridge Local,Montgome,64.88,28.28,58.29,21385 
472,Plymouth Local,Richland,64.86,12.54,34.12,22639 
473,Rolling Hills Local,Guernsey,64.84,15.2,34.25,19644 
474,Buckeye Valley Local,Delaware,64.76,4.01,9.68,29316 
475,Leipsic Local,Putnam,64.74,14,28.42,23336 
476,Toronto City,Jefferso,64.7,21.86,27.65,22162 
477,Chesapeake Union Ex Vi,Lawrence,64.63,25.9,40.31,21185 
478,South Central Local,Huron,64.56,8.35,24.17,23027 
479,Circleville City,Pickaway,64.51,14.99,24.03,23219 
480,Marietta City,Washingt,64.47,14.5,0,22362 
481,Newark City,Licking,64.35,16.78,32.62,21931 
482,Alexander Local,Athens,64.34,17.11,23.96,21307 
483,East Clinton Local,Clinton,64.33,11.82,17.23,22415 
484,Maysville Local,Muskingu,64.28,11.53,25.96,19431 
485,North College Hill Cit,Hamilton,64.14,14.55,37.11,23591 
486,Mount Gilead Ex Vill,Morrow,64.12,9.72,18.75,22936 
487,Coshocton City,Coshocto,64.11,17.58,33.6,20341 
488,Sheffield-Sheffield La,Lorain,64.1,6.8,16.49,28521 
489,Kenton City,Hardin,64.09,12.88,30.94,21607 
490,Hamilton Local,Franklin,63.94,14.58,25.12,23509 
491,Bedford City,Cuyahoga,63.94,11.43,23.26,24622 
492,New London Local,Huron,63.93,9.42,22.59,21375 
493,Caldwell Ex Vill,Noble,63.84,12.47,28.8,19530 
494,Cleveland Hts-Univ Hts,Cuyahoga,63.83,14.68,8.55,29897 
495,Groveport Madison Loca,Franklin,63.81,8.98,18.13,26792 
496,Walnut Township Local,Fairfiel,63.8,7.48,23.98,25178 
497,Conneaut Area City,Ashtabul,63.8,18.01,41.63,20075 
498,Cambridge City,Guernsey,63.59,22.64,36.29,19103 
499,Scioto Valley Local,Ross,63.56,30.88,31.75,22886 
500,Upper Scioto Valley Lo,Hardin,63.49,9.36,22.33,22586 
501,Switzerland of Ohio Lo,Monroe,63.45,19.24,42.84,20300 
502,Mad River Local,Montgome,63.41,7.54,34.67,23872 
503,Bucyrus City,Crawford,63.41,14.72,37.41,20498 
504,Brown Local,Carroll,63.4,10.67,19.44,24172 
505,South Point Local,Lawrence,63.29,25.97,34.04,21328 
506,Crestline Ex Vill,Crawford,63.25,17.69,36.86,20049 
507,Riverdale Local,Hardin,63.14,4.16,16.23,23309 
508,Jefferson Local,Madison,62.94,5.53,22.26,25301 
509,Mechanicsburg Ex Vill,Champaig,62.93,8.38,14.68,25470 
510,Licking Valley Local,Licking,62.89,6.48,16.77,25078 
511,Paint Valley Local,Ross,62.87,17.1,26.79,21944 
512,Bettsville Local,Seneca,62.79,4.42,28.15,23283 
513,Carey Ex Vill,Wyandot,62.78,5.49,12.42,22985 
514,Union Local,Belmont,62.76,17.37,39.53,18033 
515,South-Western City,Franklin,62.75,12.53,27.46,26215 
516,Amanda-Clearcreek Loca,Fairfiel,62.73,9.25,18.72,24130 
517,Xenia City,Greene,62.69,16.14,26.65,24210 
518,Rittman Ex Vill,Wayne,62.64,7.93,24.5,23387 
519,Garfield Heights City,Cuyahoga,62.64,12.16,26.71,24192 
520,Fostoria City,Seneca,62.47,18.86,36.73,20982 
521,Mount Healthy City,Hamilton,62.46,10.73,41.88,23617 
522,Fairfield Local,Highland,62.28,7.73,21.87,23084 
523,Meigs Local,Meigs,62.22,31.32,50.23,19110 
524,Massillon City,Stark,62.16,19.36,39.27,21235 
525,Grand Valley Local,Ashtabul,62.04,8.21,26.81,23279 
526,Washington-Nile Local,Scioto,61.96,30.9,46.53,19987 
527,Miami Trace Local,Fayette,61.91,9.68,20.56,22390 
528,Euclid City,Cuyahoga,61.88,15.3,37.21,23989 
529,Zanesville City,Muskingu,61.75,27.63,50.26,17966 
530,Western Brown Local,Brown,61.73,9.98,26.27,22531 
531,Indian Lake Local,Logan,61.72,13.67,21.45,22853 
532,Lakewood Local,Licking,61.66,11.75,25.72,23626 
533,Logan Elm Local,Pickaway,61.58,8.03,16.64,26218 
534,Claymont City,Tuscaraw,61.56,16.35,28.94,17807 
535,Morgan Local,Morgan,61.5,20.82,37.17,20205 
536,Oak Hill Union Local,Jackson,61.22,22.31,23.73,19715 
537,Alliance City,Stark,61.18,24.97,49.1,19298 
538,Hillsboro City,Highland,61.17,12.2,23.34,20252 
539,Windham Ex Vill,Portage,61.13,24.88,43.12,20384 
540,Hamilton City,Butler,60.9,22.02,39.42,21959 
541,Bellefontaine City,Logan,60.77,14.28,24.47,24292 
542,Clearview Local,Lorain,60.75,22.99,61.2,21036 
543,Bellaire City,Belmont,60.71,27.91,40.22,17373 
544,East Liverpool City,Columbia,60.51,31.34,36.45,18608 
545,Whitehall City,Franklin,60.47,14.68,32.56,22231 
546,Middletown City,Butler,60.32,19.21,34.33,22591 
547,Minford Local,Scioto,60.32,17.74,32.55,21700 
548,North Baltimore Local,Wood,60.1,10.02,22.7,23587 
549,Madison Local,Richland,59.81,7.34,27.87,23065 
550,New Boston Local,Scioto,59.72,52.37,67.88,15160 
551,Maple Heights City,Cuyahoga,59.63,13.7,31.67,24496 
552,Sandusky City,Erie,59.27,25.86,50.52,20030 
553,Valley Local,Scioto,59.26,27.77,41.27,21634 
554,Greenfield Ex Vill,Highland,59.24,14.88,24.83,20125 
555,Franklin Local,Muskingu,58.96,12.49,30.15,19593 
556,Bright Local,Highland,58.92,10.23,27.15,20474 
557,Gallipolis City,Gallia,58.88,25.42,28.29,22340 
558,Federal Hocking Local,Athens,58.86,23.15,43.66,20810 
559,Jackson City,Jackson,58.76,18.37,31.75,21360 
560,Ashtabula Area City,Ashtabul,58.64,27.63,44.57,20186 
561,Ripley-Union-Lewis Loc,Brown,58.56,17.22,42.41,19422 
562,Campbell City,Mahoning,58.54,32.84,53.41,19030 
563,Eastern Local,Meigs,58.52,22.06,34.78,21228 
564,New Miami Local,Butler,58.51,22.67,41.12,21121 
565,Dawson-Bryant Local,Lawrence,58.09,26.28,43.63,19635 
566,Fairport Harbor Ex Vil,Lake,57.69,10.77,0,22617 
567,Green Local,Scioto,57.63,26.42,44.08,21257 
568,Bridgeport Ex Vill,Belmont,57.61,28.83,38.39,17782 
569,Marion City,Marion,57.47,19.95,36.77,20383 
570,Painesville City Local,Lake,57.25,25.97,43.29,22134 
571,Canton City,Stark,57.2,34.29,58.13,18213 
572,Vinton County Local,Vinton,57.17,20.48,39.32,19502 
573,Southern Local,Meigs,57.09,28.18,52.54,20671 
574,Portsmouth City,Scioto,57.05,43.08,58.02,19391 
575,Westfall Local,Pickaway,56.97,8.62,21.3,24136 
576,New Lexington City,Perry,56.81,20.8,53.77,20356 
577,Rock Hill Local,Lawrence,56.71,31.68,43.77,18774 
578,Triad Local,Champaig,56.35,4.97,12.18,28487 
579,Scioto Valley Local,Pike,56.26,32.16,44.16,18890 
580,Nelsonville-York City,Athens,56.17,29.69,45.27,18601 
581,Akron City,Summit,55.86,35.38,53.82,21006 
582,Wellston City,Jackson,55.78,22.82,35.2,19034 
583,Huntington Local,Ross,55.3,19,36.09,21955 
584,Warrensville Heights C,Cuyahoga,55.22,25.5,17.45,23503 
585,Northwest Local,Scioto,54.57,28.04,44.18,19625 
586,Gallia County Local,Gallia,54.47,55.34,44.09,20304 
587,Adams County/Ohio Vall,Adams,54.28,23.06,47.69,18033 
588,Lima City,Allen,53.91,34.34,58.08,18903 
589,Warren City,Trumbull,53.59,43.3,50.85,21012 
590,Jefferson Township Loc,Montgome,53.56,30.8,64.92,23968 
591,Western Local,Pike,53.52,36.69,60.64,17289 
592,Southern Local,Perry,53.45,25.99,54.32,20308 
593,Crooksville Ex Vill,Perry,53.36,17.5,39.18,18894 
594,Symmes Valley Local,Lawrence,53.16,28.57,45.08,18555 
595,Trimble Local,Athens,52.49,33.95,41.01,18127 
596,Toledo City,Lucas,51.99,43.48,56.03,21724 
597,Lorain City,Lorain,51.58,34.14,59.95,20865 
598,Columbus City,Franklin,51.53,41.63,62.51,21857 
599,Cincinnati City,Hamilton,50.9,44.33,67.88,21826 
600,Bloom-Vernon Local,Scioto,50.43,34,41.25,19126 
601,Trotwood-Madison City,Montgome,50.39,23.4,49.91,23819 
602,Springfield City,Clark,49.54,28.88,45.32,19963 
603,Youngstown City,Mahoning,49.13,59.28,71.67,17337 
604,Mansfield City,Richland,49.02,31.56,61.78,19614 
605,Dayton City,Montgome,46.86,47.04,76.85,20380 
606,Eastern Local,Pike,44.4,26.08,39.84,19290 
607,East Cleveland City,Cuyahoga,43.86,52.8,66.15,18136 
608,Cleveland City,Cuyahoga,42.48,66.2,91.39,19102 
